iter	Passed	Remaining
0	0	70
1	1	61
2	1	58
3	2	53
4	2	52
5	3	51
6	3	51
7	4	52
8	5	51
9	5	52
10	6	53
11	7	54
12	8	53
13	8	54
14	9	53
15	10	52
16	10	52
17	11	51
18	11	50
19	12	49
20	12	48
21	13	47
22	13	46
23	14	45
24	14	44
25	15	44
26	16	43
27	16	42
28	17	42
29	17	41
30	18	40
31	18	40
32	19	39
33	19	38
34	20	38
35	21	37
36	21	36
37	22	36
38	23	36
39	24	36
40	24	35
41	24	34
42	25	33
43	26	33
44	26	32
45	27	31
46	27	31
47	28	30
48	29	30
49	29	29
50	30	29
51	30	28
52	31	27
53	31	27
54	32	26
55	32	25
56	33	25
57	33	24
58	34	23
59	34	23
60	35	22
61	36	22
62	37	21
63	37	21
64	38	20
65	39	20
66	40	19
67	40	19
68	41	18
69	42	18
70	42	17
71	43	16
72	43	16
73	44	15
74	45	15
75	45	14
76	46	13
77	46	13
78	47	12
79	47	11
80	48	11
81	48	10
82	49	10
83	50	9
84	50	8
85	51	8
86	51	7
87	52	7
88	53	6
89	53	5
90	54	5
91	55	4
92	55	4
93	56	3
94	56	2
95	57	2
96	57	1
97	58	1
98	58	0
99	59	0
